product_id,category_name,name,description,image_url,price,created_by
28,Westernwear-Women,DRW22 - Westernwear-Women,womens round neck textured maxi dress - black,https://example.com/default-image.jpg,,
29,Westernwear-Women,DRW23 - Westernwear-Women,solid polyester halter neck womens top - olive,https://example.com/default-image.jpg,,
30,Westernwear-Women,DRW24 - Westernwear-Women,womens tie up neck embroidered top - black,https://example.com/default-image.jpg,,
31,Westernwear-Women,DRW25 - Westernwear-Women,womens 2 pocket solid trousers - green,https://example.com/default-image.jpg,,
32,Westernwear-Women,DRW26 - Westernwear-Women,womens off shoulder neck embroidered top - blue,https://example.com/default-image.jpg,,
33,Westernwear-Women,DRW27 - Westernwear-Women,womens peter pan collar solid a-line dress - black,https://example.com/default-image.jpg,,
34,Westernwear-Women,DRW28 - Westernwear-Women,womens embroidered casual skirt - grey,https://example.com/default-image.jpg,,
35,Westernwear-Women,DRW29 - Westernwear-Women,womens open front neck slub long shrug - grey,https://example.com/default-image.jpg,,
36,Westernwear-Women,DRW30 - Westernwear-Women,womens mandarin collar striped long shirt - lime green,https://example.com/default-image.jpg,,
37,Westernwear-Women,DRW31 - Westernwear-Women,stripes shirt collar rayon womens casual shirt - off white,https://example.com/default-image.jpg,,
38,Westernwear-Women,DRW32 - Westernwear-Women,womens cold shoulder sleeves self pattern top - birch,https://example.com/default-image.jpg,,
39,Westernwear-Women,DRW33 - Westernwear-Women,womens strappy neck printed maxi dress - black,https://example.com/default-image.jpg,,
40,Westernwear-Women,DRW34 - Westernwear-Women,printed polyester round neck womens sweatshirt - maroon,https://example.com/default-image.jpg,,
41,Westernwear-Women,DRW35 - Westernwear-Women,womens mandarin neck solid knee length dress - black,https://example.com/default-image.jpg,,
42,Westernwear-Women,DRW36 - Westernwear-Women,womens round neck floral print tunic - yellow,https://example.com/default-image.jpg,,
43,Westernwear-Women,DRW37 - Westernwear-Women,womens off shoulder stripe embroidered top - red,https://example.com/default-image.jpg,,
44,Westernwear-Women,DRW38 - Westernwear-Women,womens 5 pocket solid pants - navy,https://example.com/default-image.jpg,,
45,Westernwear-Women,DRW39 - Westernwear-Women,womens round neck solid jumpsuit - dark brown,https://example.com/default-image.jpg,,
46,Westernwear-Women,DRW40 - Westernwear-Women,womens one shoulder printed top - multi,https://example.com/default-image.jpg,,
47,Westernwear-Women,DRW41 - Westernwear-Women,womens round neck textured top - green,https://example.com/default-image.jpg,,
48,Westernwear-Women,DRW42 - Westernwear-Women,womens collared stripe top - black,https://example.com/default-image.jpg,,
49,Westernwear-Women,DRW43 - Westernwear-Women,womens off shoulder embroidered top - cream,https://example.com/default-image.jpg,,
50,Westernwear-Women,DRW44 - Westernwear-Women,womens floral print empire waist dress - grey,https://example.com/default-image.jpg,,
51,Westernwear-Women,DRW45 - Westernwear-Women,womens round neck slub top - grey,https://example.com/default-image.jpg,,
52,Westernwear-Women,DRW46 - Westernwear-Women,womens round neck lace top - pink,https://example.com/default-image.jpg,,
53,Westernwear-Women,DRW47 - Westernwear-Women,womens round neck solid top - natural,https://example.com/default-image.jpg,,
54,Westernwear-Women,DRW48 - Westernwear-Women,womens embroidered casual shirt - cream,https://example.com/default-image.jpg,,
55,Westernwear-Women,DRW49 - Westernwear-Women,solid shirt collar polyester womens top - purple,https://example.com/default-image.jpg,,
56,Westernwear-Women,DRW50 - Westernwear-Women,womens mandarin neck printed shirt - black,https://example.com/default-image.jpg,,
57,Westernwear-Women,DRW51 - Westernwear-Women,womens round neck solid top - blush,https://example.com/default-image.jpg,,
58,Westernwear-Women,DRW52 - Westernwear-Women,womens tie up neck floral print top - black,https://example.com/default-image.jpg,,
59,Westernwear-Women,DRW53 - Westernwear-Women,womens round neck slub embroidered peplum top - grey,https://example.com/default-image.jpg,,
60,Westernwear-Women,DRW54 - Westernwear-Women,solid polyester round neck womens dress - maroon,https://example.com/default-image.jpg,,
61,Westernwear-Women,DRW55 - Westernwear-Women,womens tie up neck solid top - carrot,https://example.com/default-image.jpg,,
62,Westernwear-Women,DRW56 - Westernwear-Women,womens collared stripe skater dress - cream,https://example.com/default-image.jpg,,
63,Westernwear-Women,DRW57 - Westernwear-Women,checks rayon mandarin womens dress - black mix,https://example.com/default-image.jpg,,
64,Westernwear-Women,DRW58 - Westernwear-Women,womens tie up neck striped top - blue,https://example.com/default-image.jpg,,
65,Westernwear-Women,DRW59 - Westernwear-Women,womens mandarin collar striped top - black,https://example.com/default-image.jpg,,
66,Westernwear-Women,DRW60 - Westernwear-Women,stripes polyester v neck womens top - black,https://example.com/default-image.jpg,,
67,Westernwear-Women,DRW61 - Westernwear-Women,womens round neck lace top - birch,https://example.com/default-image.jpg,,
68,Westernwear-Women,DRW62 - Westernwear-Women,womens round neck embroidered short dress - natural,https://example.com/default-image.jpg,,
69,Westernwear-Women,DRW63 - Westernwear-Women,womens tie up neck solid top - cream,https://example.com/default-image.jpg,,
70,Westernwear-Women,DRW64 - Westernwear-Women,womens tie up neck printed top - navy,https://example.com/default-image.jpg,,
71,Westernwear-Women,DRW65 - Westernwear-Women,womens printed casual shirt - black,https://example.com/default-image.jpg,,
72,Westernwear-Women,DRW66 - Westernwear-Women,womens round neck solid top - green,https://example.com/default-image.jpg,,
73,Westernwear-Women,DRW67 - Westernwear-Women,solid polyester halter neck womens top - fuschia,https://example.com/default-image.jpg,,
74,Westernwear-Women,DRW68 - Westernwear-Women,womens notched neck embroidered top - cream,https://example.com/default-image.jpg,,
75,Westernwear-Women,DRW69 - Westernwear-Women,checks polyester blend collar neck womens casual shirt - black,https://example.com/default-image.jpg,,
76,Westernwear-Women,DRW70 - Westernwear-Women,womens round neck self printed top - yellow,https://example.com/default-image.jpg,,
77,Westernwear-Women,DRW71 - Westernwear-Women,printed round neck rayon womens top - red,https://example.com/default-image.jpg,,
78,Westernwear-Women,DRW72 - Westernwear-Women,womens round neck slub top - yellow,https://example.com/default-image.jpg,,
79,Westernwear-Women,DRW73 - Westernwear-Women,womens off shoulder checked top - blue,https://example.com/default-image.jpg,,
80,Westernwear-Women,DRW74 - Westernwear-Women,womens mandarin collar embroidered top - black,https://example.com/default-image.jpg,,
81,Westernwear-Women,DRW75 - Westernwear-Women,womens round neck printed top - navy,https://example.com/default-image.jpg,,
82,Westernwear-Women,DRW76 - Westernwear-Women,womens round neck embroidered top - cream,https://example.com/default-image.jpg,,
83,Westernwear-Women,DRW77 - Westernwear-Women,printed polyester v neck womens top - print,https://example.com/default-image.jpg,,
84,Westernwear-Women,DRW78 - Westernwear-Women,womens v neck solid top - red,https://example.com/default-image.jpg,,
85,Westernwear-Women,DRW79 - Westernwear-Women,womens round neck embellished top - birch,https://example.com/default-image.jpg,,
86,Westernwear-Women,DRW80 - Westernwear-Women,womens solid a-line dress - natural,https://example.com/default-image.jpg,,
87,Westernwear-Women,DRW81 - Westernwear-Women,womens solid jeggings - navy,https://example.com/default-image.jpg,,
88,Westernwear-Women,DRW82 - Westernwear-Women,womens collared check skater dress - blue,https://example.com/default-image.jpg,,
89,Westernwear-Women,DRW83 - Westernwear-Women,printed polyester blend round neck womens casual shirt - black,https://example.com/default-image.jpg,,
90,Westernwear-Women,DRW84 - Westernwear-Women,solid polyester round neck womens top - blue,https://example.com/default-image.jpg,,
91,Westernwear-Women,DRW85 - Westernwear-Women,stripes rayon collar neck womens dress - black,https://example.com/default-image.jpg,,
92,Westernwear-Women,DRW86 - Westernwear-Women,womens round neck solid top - yellow,https://example.com/default-image.jpg,,
93,Westernwear-Women,DRW87 - Westernwear-Women,womens collared check ruffled shirt - navy,https://example.com/default-image.jpg,,
94,Westernwear-Women,DRW88 - Westernwear-Women,womens solid casual maxi dress - red,https://example.com/default-image.jpg,,
95,Westernwear-Women,DRW89 - Westernwear-Women,womens round neck printed ruffled top - blush,https://example.com/default-image.jpg,,
96,Westernwear-Women,DRW90 - Westernwear-Women,womens 5 pocket coated jeans - blue,https://example.com/default-image.jpg,,
97,Westernwear-Women,DRW91 - Westernwear-Women,womens tie up neck floral print a-line dress - birch,https://example.com/default-image.jpg,,
98,Westernwear-Women,DRW92 - Westernwear-Women,checkered shirt collar polyester cotton womens casual shirt - blue,https://example.com/default-image.jpg,,
99,Westernwear-Women,DRW93 - Westernwear-Women,womens round neck floral print top - lime green,https://example.com/default-image.jpg,,
100,Westernwear-Women,DRW94 - Westernwear-Women,printed polyester round neck womens sweatshirt - grey,https://example.com/default-image.jpg,,
101,Westernwear-Women,DRW95 - Westernwear-Women,solid cotton high neck womens top - black,https://example.com/default-image.jpg,,
102,Westernwear-Women,DRW96 - Westernwear-Women,womens semi square neck solid midi dress - red,https://example.com/default-image.jpg,,
103,Westernwear-Women,DRW97 - Westernwear-Women,womens off shoulder neck solid top - navy,https://example.com/default-image.jpg,,
104,Westernwear-Women,DRW98 - Westernwear-Women,womens solid casual pants - off white,https://example.com/default-image.jpg,,
105,Westernwear-Women,DRW99 - Westernwear-Women,womens round neck floral print top - grey,https://example.com/default-image.jpg,,
106,Westernwear-Women,DRW100 - Westernwear-Women,womens round neck solid top - black,https://example.com/default-image.jpg,,
107,Westernwear-Women,DRW101 - Westernwear-Women,womens collared checked tunic - green,https://example.com/default-image.jpg,,
108,Westernwear-Women,DRW102 - Westernwear-Women,womens textured casual top - blue,https://example.com/default-image.jpg,,
109,Westernwear-Women,DRW103 - Westernwear-Women,solid rayon round neck womens top - yellow,https://example.com/default-image.jpg,,
110,Westernwear-Women,DRW104 - Westernwear-Women,womens round neck embroidered top - coral,https://example.com/default-image.jpg,,
111,Westernwear-Women,DRW105 - Westernwear-Women,solid viscose round neck womens regular fit top - yellow,https://example.com/default-image.jpg,,
112,Westernwear-Women,DRW106 - Westernwear-Women,womens solid casual shirt - natural,https://example.com/default-image.jpg,,
113,Westernwear-Women,DRW107 - Westernwear-Women,womens round neck lace top - birch,https://example.com/default-image.jpg,,
114,Westernwear-Women,DRW108 - Westernwear-Women,printed round neck rayon womens top - black,https://example.com/default-image.jpg,,
115,Westernwear-Women,DRW109 - Westernwear-Women,checks rayon mandarin womens top - black,https://example.com/default-image.jpg,,
116,Westernwear-Women,DRW110 - Westernwear-Women,solid shirt collar regular fit womens casual shirt - olive,https://example.com/default-image.jpg,,
117,Westernwear-Women,DRW111 - Westernwear-Women,womens round neck solid top - black,https://example.com/default-image.jpg,,
118,Westernwear-Women,DRW112 - Westernwear-Women,womens one shoulder solid top - blue,https://example.com/default-image.jpg,,
119,Westernwear-Women,DRW113 - Westernwear-Women,womens round neck solid embroidered top - white,https://example.com/default-image.jpg,,
120,Westernwear-Women,DRW114 - Westernwear-Women,stripes rayon mandarin womens dress - mustard,https://example.com/default-image.jpg,,
121,Fragrance-Women,FW1 - Fragrance-Women,spiced vanilla man made wash 946 ml,https://example.com/default-image.jpg,,
122,Westernwear-Women,AARKE1 - Westernwear-Women,solid sleeveless polyester blend womens jumpsuit - black,https://example.com/default-image.jpg,,
123,Indianwear-Women,AARKE2 - Indianwear-Women,printed chiffon v neck womens short top - dusty pink,https://example.com/default-image.jpg,,
124,Indianwear-Women,AARKE3 - Indianwear-Women,regular fit calf length polyester blend womens fusion wear skirt - rust,https://example.com/default-image.jpg,,
125,Indianwear-Women,AARKE4 - Indianwear-Women,regular fit calf length polyester blend womens fusion wear skirt - green,https://example.com/default-image.jpg,,
126,Indianwear-Women,AARKE5 - Indianwear-Women,printed round neck polyester blend womens dress - blue,https://example.com/default-image.jpg,,
127,Indianwear-Women,AARKE6 - Indianwear-Women,printed polyester blend round neck womens short top - ecru,https://example.com/default-image.jpg,,
128,Indianwear-Women,AARKE7 - Indianwear-Women,printed polyester blend v neck womens short top - ecru,https://example.com/default-image.jpg,,
129,Indianwear-Women,AARKE8 - Indianwear-Women,printed polyester blend mandarin womens fusion wear kurta - blue,https://example.com/default-image.jpg,,
130,Indianwear-Women,AARKE9 - Indianwear-Women,printed square neck rayon blend womens long dress - blue,https://example.com/default-image.jpg,,
131,Indianwear-Women,AARKE10 - Indianwear-Women,embroidered rayon blend round neck womens ethnic set - red,https://example.com/default-image.jpg,,
132,Indianwear-Women,AARKE11 - Indianwear-Women,embroidered rayon blend v neck womens short top - blue,https://example.com/default-image.jpg,,
133,Indianwear-Women,AARKE12 - Indianwear-Women,printed cotton blend round neck womens ethnic set - ecru,https://example.com/default-image.jpg,,
134,Indianwear-Women,AARKE13 - Indianwear-Women,embroidered rayon blend round neck womens ethnic set - blue,https://example.com/default-image.jpg,,
135,Indianwear-Women,AARKE14 - Indianwear-Women,printed rayon blend round neck womens ethnic set - blue,https://example.com/default-image.jpg,,
136,Indianwear-Women,AARKE15 - Indianwear-Women,printed cotton blend collar neck womens shirt blouse - ecru,https://example.com/default-image.jpg,,
137,Indianwear-Women,AARKE16 - Indianwear-Women,embroidered v neck rayon blend womens dress - lavender,https://example.com/default-image.jpg,,
138,Indianwear-Women,AARKE17 - Indianwear-Women,printed cotton blend collar neck womens shirt blouse - red,https://example.com/default-image.jpg,,
139,Indianwear-Women,AARKE18 - Indianwear-Women,printed chiffon round neck womens short top - violet,https://example.com/default-image.jpg,,
140,Indianwear-Women,AARKE19 - Indianwear-Women,printed v neck rayon blend womens long dress - blue,https://example.com/default-image.jpg,,
141,Indianwear-Women,AARKE20 - Indianwear-Women,printed polyester blend collar neck womens shirt blouse - blue,https://example.com/default-image.jpg,,
142,Indianwear-Women,AARKE21 - Indianwear-Women,printed square neck rayon blend womens long dress - rust,https://example.com/default-image.jpg,,
143,Indianwear-Women,AARKE22 - Indianwear-Women,embroidered rayon blend round neck womens ethnic set - yellow,https://example.com/default-image.jpg,,
144,Indianwear-Women,AARKE23 - Indianwear-Women,printed round neck polyester blend womens dress - pink,https://example.com/default-image.jpg,,
145,Indianwear-Women,AARKE24 - Indianwear-Women,printed mandarin cotton blend womens dress - pink,https://example.com/default-image.jpg,,
146,Indianwear-Women,AARKE25 - Indianwear-Women,printed square neck cotton blend womens dress - red,https://example.com/default-image.jpg,,
147,Indianwear-Women,AARKE26 - Indianwear-Women,printed polyester blend v neck womens short top - yellow,https://example.com/default-image.jpg,,
148,Indianwear-Women,AARKE27 - Indianwear-Women,embroidered cotton blend round neck womens ethnic set - turquoise,https://example.com/default-image.jpg,,
149,Indianwear-Women,AARKE28 - Indianwear-Women,printed chiffon round neck womens short top - yellow,https://example.com/default-image.jpg,,
150,Indianwear-Women,AARKE29 - Indianwear-Women,printed rayon blend round neck womens ethnic set - rust,https://example.com/default-image.jpg,,
151,Indianwear-Women,AARKE30 - Indianwear-Women,printed rayon blend round neck womens ethnic set - sky blue,https://example.com/default-image.jpg,,
152,Indianwear-Women,AARKE31 - Indianwear-Women,printed square neck cotton blend womens dress - ecru,https://example.com/default-image.jpg,,
153,Indianwear-Women,AARKE32 - Indianwear-Women,printed cowl neck polyester blend womens long dress - white,https://example.com/default-image.jpg,,
154,Indianwear-Women,AARKE33 - Indianwear-Women,printed round neck cotton blend womens dress - blue,https://example.com/default-image.jpg,,
155,Indianwear-Women,AARKE34 - Indianwear-Women,printed round neck chiffon womens dress - pink,https://example.com/default-image.jpg,,
156,Indianwear-Women,AARKE35 - Indianwear-Women,printed square neck rayon slub womens short top - turquoise,https://example.com/default-image.jpg,,
157,Indianwear-Women,AARKE36 - Indianwear-Women,embroidered poly cotton round neck womens ethnic set - gold,https://example.com/default-image.jpg,,
158,Indianwear-Women,AARKE37 - Indianwear-Women,printed shirt collar rayon slub womens top - red,https://example.com/default-image.jpg,,
159,Indianwear-Women,AARKE38 - Indianwear-Women,printed round neck cotton blend womens dress - rust,https://example.com/default-image.jpg,,
160,Indianwear-Women,AARKE39 - Indianwear-Women,printed cotton blend collar neck womens shirt blouse - yellow,https://example.com/default-image.jpg,,
161,Indianwear-Women,AARKE40 - Indianwear-Women,printed mandarin cotton blend womens dress - yellow,https://example.com/default-image.jpg,,
162,Indianwear-Women,AARKE41 - Indianwear-Women,printed polyester blend collar neck womens shirt blouse - rust,https://example.com/default-image.jpg,,
163,Indianwear-Women,AARKE42 - Indianwear-Women,printed v neck polyester blend womens dress - green,https://example.com/default-image.jpg,,
164,Indianwear-Women,AARKE43 - Indianwear-Women,printed rayon blend collar neck womens shirt blouse - blue,https://example.com/default-image.jpg,,
165,Indianwear-Women,AARKE44 - Indianwear-Women,printed polyester blend collar neck womens shirt blouse - green,https://example.com/default-image.jpg,,
166,Lingerie&Nightwear-Women,AARKE45 - Lingerie&Nightwear-Women,printed polyester blend v neck womens kaftan - rust,https://example.com/default-image.jpg,,
167,Fragrance-Women,AF1 - Fragrance-Women,first instinct eau de parfum - 100ml,https://example.com/default-image.jpg,,
168,Fragrance-Women,AF2 - Fragrance-Women,womens first instinct blue eau de parfum - 100ml,https://example.com/default-image.jpg,,
169,Fragrance-Women,AF3 - Fragrance-Women,womens first instinct eau de toilette set of 2 - 100ml+15 ml,https://example.com/default-image.jpg,,
170,Fragrance-Women,AF4 - Fragrance-Women,womens first instinct sheer eau de parfum 100 ml,https://example.com/default-image.jpg,,
171,Fragrance-Women,AF5 - Fragrance-Women,womens authentic eau de parfum 100 ml,https://example.com/default-image.jpg,,
172,Jewellery-Women,AJ1 - Jewellery-Women,womens turq teardrop pendant - red,https://example.com/default-image.jpg,,
173,Westernwear-Women,ADIDAS1 - Westernwear-Women,striped regular fit blended womens sports tights - black,https://example.com/default-image.jpg,,
174,Westernwear-Women,ADIDAS2 - Westernwear-Women,stripes regular cotton womens sports wear pants - black,https://example.com/default-image.jpg,,
175,Westernwear-Women,ADIDAS3 - Westernwear-Women,solid cotton blend round neck womens regular fit t-shirt - black,https://example.com/default-image.jpg,,
176,Westernwear-Women,ADIDAS4 - Westernwear-Women,solid slim fit cotton womens casual wear track pants - black,https://example.com/default-image.jpg,,
177,Westernwear-Women,ADIDAS5 - Westernwear-Women,solid cotton round neck womens t-shirt - pink,https://example.com/default-image.jpg,,
178,Westernwear-Women,ADIDAS6 - Westernwear-Women,printed polyester crew neck womens t-shirt - black,https://example.com/default-image.jpg,,
179,Westernwear-Women,ADIDAS7 - Westernwear-Women,regular fit polyester womens active wear tights - black,https://example.com/default-image.jpg,,
180,Westernwear-Women,ADIDAS8 - Westernwear-Women,solid polyester round neck womens t-shirt - black,https://example.com/default-image.jpg,,
181,Westernwear-Women,ADIDAS9 - Westernwear-Women,printed regular fit blended womens active wear tights - navy,https://example.com/default-image.jpg,,
182,Westernwear-Women,ADIDAS10 - Westernwear-Women,printed regular fit polyester womens sports t-shirt - white,https://example.com/default-image.jpg,,
183,Westernwear-Women,ADIDAS11 - Westernwear-Women,printed crew neck cotton womens t-shirt - black,https://example.com/default-image.jpg,,
184,Westernwear-Women,ADIDAS12 - Westernwear-Women,solid regular fit polyester womens active wear shorts - black,https://example.com/default-image.jpg,,
185,Westernwear-Women,ADIDAS13 - Westernwear-Women,solid fitted fit polyester womens track pants - black,https://example.com/default-image.jpg,,
186,Westernwear-Women,ADIDAS14 - Westernwear-Women,stripes cotton fitted womens casual tights - grey,https://example.com/default-image.jpg,,
187,Westernwear-Women,ADIDAS15 - Westernwear-Women,solid polyester polo collar womens t-shirt - black,https://example.com/default-image.jpg,,
188,Westernwear-Women,ADIDAS16 - Westernwear-Women,regular fit cotton womens active wear tights - black,https://example.com/default-image.jpg,,
189,Westernwear-Women,ADIDAS17 - Westernwear-Women,stripes regular cotton womens sports wear pants - carbon,https://example.com/default-image.jpg,,
190,Westernwear-Women,ADIDAS18 - Westernwear-Women,stripes slim fit polyester womens athleisure track pants - blue,https://example.com/default-image.jpg,,
191,Westernwear-Women,ADIDAS19 - Westernwear-Women,printed cotton round neck womens t-shirt - blue,https://example.com/default-image.jpg,,
192,Westernwear-Women,ADIDAS20 - Westernwear-Women,stripes cotton crew neck womens t-shirt - mauve,https://example.com/default-image.jpg,,
193,Westernwear-Women,ADIDAS21 - Westernwear-Women,stripes cotton fitted womens casual tights - pink,https://example.com/default-image.jpg,,
194,Westernwear-Women,ADIDAS22 - Westernwear-Women,printed polyester crew neck womens t-shirt - black,https://example.com/default-image.jpg,,
195,Westernwear-Women,ADIDAS23 - Westernwear-Women,stripes crew neck polyester womens t-shirt - black,https://example.com/default-image.jpg,,
196,Westernwear-Women,ADIDAS24 - Westernwear-Women,striped fitted fit polyester womens track pants - black,https://example.com/default-image.jpg,,
197,Westernwear-Women,ADIDAS25 - Westernwear-Women,printed tight fit polyester womens track pants - navy,https://example.com/default-image.jpg,,
198,Westernwear-Women,ADIDAS26 - Westernwear-Women,printed polyester crew neck womens t-shirt - white,https://example.com/default-image.jpg,,
199,Westernwear-Women,ADIDAS27 - Westernwear-Women,striped slim fit polyester womens shorts - grey,https://example.com/default-image.jpg,,
200,Westernwear-Women,ADIDAS28 - Westernwear-Women,solid regular fit blended womens active wear tights - black,https://example.com/default-image.jpg,,
201,Westernwear-Women,ADIDAS29 - Westernwear-Women,printed crew neck cotton womens t-shirt - green,https://example.com/default-image.jpg,,
202,Westernwear-Women,ADIDAS30 - Westernwear-Women,solid regular fit polyester womens active wear shorts - red,https://example.com/default-image.jpg,,
203,Westernwear-Women,ADIDAS31 - Westernwear-Women,solid polyester round neck womens t-shirt - pink,https://example.com/default-image.jpg,,
204,Westernwear-Women,ADIDAS32 - Westernwear-Women,printed cotton crew neck womens t-shirt - lemon,https://example.com/default-image.jpg,,
205,Westernwear-Women,ADIDAS33 - Westernwear-Women,fitted polyester womens casual shorts - red,https://example.com/default-image.jpg,,
206,Westernwear-Women,ADIDAS34 - Westernwear-Women,striped cotton round neck womens dress - purple,https://example.com/default-image.jpg,,
207,Westernwear-Women,ADIDAS35 - Westernwear-Women,printed polyester fitted womens casual tights - black,https://example.com/default-image.jpg,,
208,Westernwear-Women,ADIDAS36 - Westernwear-Women,striped polyester round neck womens t-shirt - black,https://example.com/default-image.jpg,,
209,Westernwear-Women,ADIDAS37 - Westernwear-Women,printed cotton round neck womens t-shirt - white,https://example.com/default-image.jpg,,
210,Westernwear-Women,ADIDAS38 - Westernwear-Women,regular fit polyester womens casual shorts - black,https://example.com/default-image.jpg,,
211,Westernwear-Women,ADIDAS39 - Westernwear-Women,regular fit polyester womens casual shorts - black,https://example.com/default-image.jpg,,
212,Westernwear-Women,ADIDAS40 - Westernwear-Women,solid cotton round neck womens t-shirt - blue,https://example.com/default-image.jpg,,
213,Westernwear-Women,ADIDAS41 - Westernwear-Women,printed cotton crew neck womens t-shirt - black,https://example.com/default-image.jpg,,
214,Westernwear-Women,ADIDAS42 - Westernwear-Women,regular fit regular length polyester blend womens leggings - black,https://example.com/default-image.jpg,,
215,Westernwear-Women,ADIDAS43 - Westernwear-Women,solid fitted fit polyester womens tights - black,https://example.com/default-image.jpg,,
216,Westernwear-Women,ADIDAS44 - Westernwear-Women,printed regular polyester womens sports wear pants - legend blue,https://example.com/default-image.jpg,,
217,Westernwear-Women,ADIDAS45 - Westernwear-Women,printed polyester crew neck womens t-shirt - mauve,https://example.com/default-image.jpg,,
218,Westernwear-Women,ADIDAS46 - Westernwear-Women,printed polyester crew neck womens top - purple,https://example.com/default-image.jpg,,
219,Westernwear-Women,ADIDAS47 - Westernwear-Women,fitted polyester womens casual shorts - navy,https://example.com/default-image.jpg,,
220,Westernwear-Women,ADIDAS48 - Westernwear-Women,solid polyester crew neck womens t-shirt - burgundy,https://example.com/default-image.jpg,,
221,Westernwear-Women,ADIDAS49 - Westernwear-Women,printed cotton crew neck womens t-shirt - rust,https://example.com/default-image.jpg,,
222,Westernwear-Women,ADIDAS50 - Westernwear-Women,printed cotton round neck womens t-shirt - black,https://example.com/default-image.jpg,,
223,Westernwear-Women,ADIDAS51 - Westernwear-Women,solid polyester round neck womens t-shirt - white,https://example.com/default-image.jpg,,
224,Westernwear-Women,ADIDAS52 - Westernwear-Women,striped slim fit polyester womens tights - pink,https://example.com/default-image.jpg,,
225,Westernwear-Women,ADIDAS53 - Westernwear-Women,stripes crew neck polyester womens t-shirt - grey,https://example.com/default-image.jpg,,
226,Westernwear-Women,ADIDAS54 - Westernwear-Women,stripes polyester fitted womens casual tights - black,https://example.com/default-image.jpg,,
227,Westernwear-Women,ADIDAS55 - Westernwear-Women,solid polyester round neck womens t-shirt - red,https://example.com/default-image.jpg,,
228,Westernwear-Women,ADIDAS56 - Westernwear-Women,solid tight fit polyester womens tights - black,https://example.com/default-image.jpg,,
229,Westernwear-Women,ADIDAS57 - Westernwear-Women,solid blended round neck womens t-shirt - grey,https://example.com/default-image.jpg,,
230,Westernwear-Women,ADIDAS58 - Westernwear-Women,printed regular fit polyester womens active wear tights - pink,https://example.com/default-image.jpg,,
231,Westernwear-Women,ADIDAS59 - Westernwear-Women,solid crew neck polyester womens t-shirt - purple,https://example.com/default-image.jpg,,
232,Westernwear-Women,ADIDAS60 - Westernwear-Women,striped regular fit polyester womens track pants - black,https://example.com/default-image.jpg,,
233,Westernwear-Women,ADIDAS61 - Westernwear-Women,solid regular fit polyester womens skirt - black,https://example.com/default-image.jpg,,
